                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0222,                 3.1142,                 1.2902,                0.25927,                0.67788,                0.42154,                0.31067,                0.98085,                 3.2641,                 1.2139,             0.00021109,             0.00021109,             0.00021109
                      2,                0.89483,                 1.9612,                  1.233,                0.44353,                0.53988,                 0.4858,                0.36072,                  1.063,                 2.2367,                 1.2999,               0.000429,               0.000429,               0.000429
                      3,                0.95333,                  1.767,                 1.2444,                0.43911,                0.51188,                0.46045,                0.31217,                 1.1223,                 2.7631,                 1.4148,             0.00064251,             0.00064251,             0.00064251
                      4,                 0.9504,                 1.6452,                 1.2203,                0.46615,                0.51729,                0.49454,                0.26475,                 1.4037,                 2.1697,                 1.6134,             0.00085162,             0.00085162,             0.00085162
                      5,                 1.0198,                 1.5392,                 1.2539,                  0.602,                0.39675,                0.40204,                0.25528,                 1.3884,                 3.5711,                 1.5732,              0.0010563,              0.0010563,              0.0010563
                      6,                0.99156,                 1.4276,                 1.2705,                 0.5678,                0.39024,                0.42266,                0.27489,                 1.3749,                 3.1685,                 1.6121,               0.001056,               0.001056,               0.001056
                      7,                0.99218,                 1.3227,                 1.2334,                0.65781,                0.34518,                0.43558,                    0.3,                 1.2795,                 2.5887,                 1.5408,               0.001056,               0.001056,               0.001056
                      8,                0.96427,                 1.2736,                 1.2113,                0.66928,                 0.5726,                 0.6059,                0.42323,                  1.167,                 1.7018,                 1.4415,               0.001045,               0.001045,               0.001045
                      9,                0.96012,                 1.2232,                 1.2044,                0.57594,                0.57209,                0.61559,                 0.3843,                 1.2986,                 1.7163,                 1.5086,               0.001034,               0.001034,               0.001034
                     10,                0.90928,                 1.1574,                 1.1883,                0.51451,                0.50784,                0.52375,                0.36139,                 1.2789,                 2.0019,                 1.5744,               0.001023,               0.001023,               0.001023
                     11,                 1.0891,                 1.3627,                 1.3666,                0.50613,                0.65627,                0.59029,                0.40293,                 1.2803,                 1.7081,                 1.4983,               0.001012,               0.001012,               0.001012
                     12,                0.93997,                  1.115,                 1.2078,                0.58093,                0.60484,                0.61721,                0.45013,                 1.1706,                 1.5995,                 1.4187,               0.001001,               0.001001,               0.001001
