                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0222,                 3.1142,                 1.2902,                0.25927,                0.67788,                0.42154,                0.31067,                0.98085,                 3.2641,                 1.2139,             0.00021109,             0.00021109,             0.00021109
                      2,                0.88404,                 1.9702,                 1.2276,                0.48039,                0.46819,                0.44089,                0.31206,                  1.092,                 2.3409,                 1.3175,             0.00041613,             0.00041613,             0.00041613
                      3,                0.97593,                  1.767,                 1.2542,                0.53713,                0.55826,                0.57229,                0.39176,                 1.0796,                 2.4934,                 1.3381,             0.00060358,             0.00060358,             0.00060358
                      4,                0.94698,                 1.5861,                 1.2044,                 0.4541,                0.54764,                0.51842,                 0.3677,                  1.287,                 1.9159,                  1.444,             0.00077342,             0.00077342,             0.00077342
                      5,                0.98787,                  1.476,                 1.2279,                0.57225,                0.53206,                0.57077,                0.38133,                  1.205,                 2.9041,                 1.4957,             0.00092567,             0.00092567,             0.00092567
                      6,                0.97794,                  1.398,                 1.2502,                0.58201,                0.53628,                0.53953,                0.35024,                 1.2825,                 2.3569,                 1.5644,             0.00089102,             0.00089102,             0.00089102
                      7,                0.97164,                 1.2802,                 1.2137,                0.66124,                 0.5075,                0.62098,                0.40503,                 1.2286,                 2.0216,                 1.4915,             0.00089102,             0.00089102,             0.00089102
                      8,                0.93159,                 1.2267,                 1.1807,                  0.645,                0.67417,                0.69472,                0.44731,                 1.2587,                 1.4463,                 1.4584,             0.00084703,             0.00084703,             0.00084703
                      9,                0.92032,                 1.1022,                 1.1639,                0.79461,                0.57554,                0.71631,                0.49396,                  1.177,                 1.5121,                 1.3696,             0.00080303,             0.00080303,             0.00080303
                     10,                0.87911,                 1.0825,                 1.1714,                 0.6458,                0.65567,                0.68158,                0.48346,                 1.1406,                 1.4622,                 1.3812,             0.00075904,             0.00075904,             0.00075904
                     11,                0.98345,                 1.7015,                 1.2698,                 0.6024,                0.58434,                0.66814,                0.49838,                 1.1185,                 1.3973,                 1.3707,             0.00071504,             0.00071504,             0.00071504
                     12,                0.85914,                  1.058,                 1.1677,                 0.7779,                0.63579,                0.76209,                0.56275,                 1.0498,                 1.3917,                 1.3297,             0.00067104,             0.00067104,             0.00067104
                     13,                0.84583,                 1.0749,                 1.1476,                0.89866,                0.62147,                0.76513,                0.58781,                 1.0183,                 1.1824,                 1.2923,             0.00062705,             0.00062705,             0.00062705
                     14,                0.82331,                0.90777,                 1.1208,                0.74262,                0.76606,                0.81359,                0.64233,                0.94805,                 1.0633,                 1.2098,             0.00058305,             0.00058305,             0.00058305
                     15,                0.75191,                0.91759,                  1.115,                0.82985,                0.77179,                 0.8453,                0.68464,                0.95375,                 1.0833,                 1.2045,             0.00053906,             0.00053906,             0.00053906
                     16,                0.72223,                0.84235,                 1.0664,                0.79077,                0.64956,                0.76226,                0.59025,                 1.0631,                 1.2417,                 1.2938,             0.00049506,             0.00049506,             0.00049506
                     17,                0.72058,                0.75173,                 1.0569,                0.76722,                0.71932,                0.80288,                 0.6142,                 1.0362,                   1.17,                 1.2791,             0.00045107,             0.00045107,             0.00045107
                     18,                 0.6953,                0.75412,                 1.0817,                0.86693,                 0.7203,                0.83723,                0.67209,                0.95045,                 1.0513,                 1.1902,             0.00040707,             0.00040707,             0.00040707
                     19,                0.69111,                0.67191,                 1.0372,                0.80135,                0.75435,                0.81893,                0.65397,                0.94385,                 1.1036,                 1.1898,             0.00036307,             0.00036307,             0.00036307
                     20,                0.62973,                0.59443,                0.99725,                0.81954,                0.80932,                0.86692,                 0.7085,                0.90894,                  1.059,                 1.1564,             0.00031908,             0.00031908,             0.00031908
                     21,                0.62454,                0.66244,                0.99788,                0.86143,                0.87381,                0.91211,                0.75976,                0.89388,                0.84356,                 1.1265,             0.00027508,             0.00027508,             0.00027508
                     22,                0.62338,                0.54153,                0.98653,                0.89432,                0.85464,                 0.9185,                0.76334,                0.89449,                0.81812,                 1.1357,             0.00023109,             0.00023109,             0.00023109
                     23,                0.59748,                0.48523,                0.96911,                 0.8947,                0.86413,                0.92648,                0.78187,                0.87195,                0.77936,                 1.1189,             0.00018709,             0.00018709,             0.00018709
                     24,                0.58299,                0.48492,                0.97366,                0.87263,                0.87918,                0.93054,                0.78754,                0.85683,                0.77729,                 1.1226,              0.0001431,              0.0001431,              0.0001431
                     25,                0.59669,                0.45483,                 0.9675,                0.92004,                0.83541,                0.92456,                0.78186,                0.85806,                0.74599,                  1.124,             9.9101e-05,             9.9101e-05,             9.9101e-05
